Device,Experiment,Plate Name,Animal Description,Plate Position Name,Plate Row,Plate Column,Plate Center Position X (inches),Plate Center Position Y (inches),Plate Size X (inches),Plate Size Y (inches),Strain,Genotype,Condition 1,Condition 2,Condition 3,Culturing Temperature,Experiment Temperature,Food Source,Environmental Conditions,Incubator Name,Incubator Column,Incubator Shelf,Event Frequency,Age at Death (d) Raw,Duration Not Fast Moving (d),Longest Gap in Measurement (d),Censored,Censored Reason,Event Observation Type,Annotation Source,Technique,Analysis Type,Event Type
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::0,QZ0::0,d::0,0,d,6.08594,2.20469,1.90313,1.85312,QZ0,,,,,,,,0,4,L,3,1,10.1825,7.875,0.25,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::0,QZ0::0,d::0,0,d,6.08594,2.20469,1.90313,1.85312,QZ0,,,,,,,,0,4,L,3,1,10.1825,3.20833,0.25,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::0,QZ0::0,d::0,0,d,6.08594,2.20469,1.90313,1.85312,QZ0,,,,,,,,0,4,L,3,1,12.0159,5.58333,0.25,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::0,QZ0::0,d::0,0,d,6.08594,2.20469,1.90313,1.85312,QZ0,,,,,,,,0,4,L,3,4,13.5159,3.58333,0.0833333,1,Entered multi-worm cluster,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::0,QZ0::0,d::0,0,d,6.08594,2.20469,1.90313,1.85312,QZ0,,,,,,,,0,4,L,3,1,15.3492,3.25,0.0833333,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::0,QZ0::0,d::0,0,d,6.08594,2.20469,1.90313,1.85312,QZ0,,,,,,,,0,4,L,3,1,16.1825,6.1875,0.0833333,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::0,QZ0::0,d::0,0,d,6.08594,2.20469,1.90313,1.85312,QZ0,,,,,,,,0,4,L,3,1,16.2242,2.70833,0.0833333,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::0,QZ0::0,d::0,0,d,6.08594,2.20469,1.90313,1.85312,QZ0,,,,,,,,0,4,L,3,1,17.0575,4.66667,0.0833333,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::0,QZ0::0,d::0,0,d,6.08594,2.20469,1.90313,1.85312,QZ0,,,,,,,,0,4,L,3,1,17.0992,3.875,0.0833333,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::0,QZ0::0,d::0,0,d,6.08594,2.20469,1.90313,1.85312,QZ0,,,,,,,,0,4,L,3,1,17.2659,3.75,0.0833333,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::0,QZ0::0,d::0,0,d,6.08594,2.20469,1.90313,1.85312,QZ0,,,,,,,,0,4,L,3,1,17.2659,6.04167,0.0833333,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::0,QZ0::0,d::0,0,d,6.08594,2.20469,1.90313,1.85312,QZ0,,,,,,,,0,4,L,3,1,17.7242,0.5,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::0,QZ0::0,d::0,0,d,6.08594,2.20469,1.90313,1.85312,QZ0,,,,,,,,0,4,L,3,1,17.8075,4.04167,0.0833333,0,,,Automated Analysis,Lifespan Machine,,
mouse,2014_07_25_incubator_4_chloroquine_2,mouse_d::0,QZ0::0,d::0,0,d,6.08594,2.20469,1.90313,1.85312,QZ0,,,,,,,,0,4,L,3,1,18.1825,2.04167,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
