1.0,0.8776,0.7052,0.0048
1.0,0.89,0.796,0.0
1.0,0.9048,0.794,0.6292,0.0
1.0,0.8952,0.7648,0.6596,0.0004
1.0,0.8564,0.6584,0.0016
1.0,0.9012,0.778,0.6628,0.0
1.0,0.8988,0.8072,0.6552,0.0032
1.0,0.8884,0.786,0.6712,0.0
1.0,0.9168,0.8236,0.704,0.5316,0.0016
1.0,0.8828,0.7636,0.0
1.0,0.912,0.7784,0.6416,0.0
1.0,0.8976,0.792,0.5692,0.002
1.0,0.8732,0.7512,0.6808,0.0
1.0,0.8992,0.7728,0.6548,0.0
1.0,0.914,0.7932,0.6528,0.0
1.0,0.8608,0.7628,0.0016
1.0,0.9128,0.806,0.6856,0.5348,0.004
1.0,0.8924,0.7804,0.6696,0.0
1.0,0.8656,0.746,0.5812,0.0248,0.0224,0.0212,0.0184,0.0172,0.0168,0.0144,0.0144,0.0144,0.014,0.0124,0.008
1.0,0.8924,0.77,0.6328,0.0
1.0,0.9024,0.814,0.6896,0.0
1.0,0.8668,0.772,0.6296,0.0
1.0,0.8788,0.7244,0.0
1.0,0.884,0.7664,0.6236,0.0
1.0,0.8972,0.7752,0.618,0.0
1.0,0.896,0.8144,0.7056,0.0
1.0,0.894,0.7756,0.0136,0.0136,0.0128,0.012,0.0116,0.0104,0.0096
1.0,0.902,0.7736,0.6648,0.0028
1.0,0.8672,0.7852,0.6388,0.0
1.0,0.88,0.774,0.6944,0.4984,0.0
1.0,0.89,0.7712,0.0032
1.0,0.8952,0.7712,0.0
1.0,0.8604,0.7628,0.0
1.0,0.8924,0.7956,0.6664,0.0
1.0,0.908,0.79,0.606,0.002
1.0,0.8796,0.7644,0.6904,0.0096
1.0,0.884,0.7952,0.6772,0.0
1.0,0.9004,0.804,0.6768,0.0
1.0,0.9104,0.7984,0.6296,0.0
1.0,0.8812,0.7216,0.0012
1.0,0.8908,0.7652,0.6188,0.0
1.0,0.886,0.6872,0.0076
1.0,0.8928,0.7932,0.6804,0.0
1.0,0.9108,0.732,0.002
1.0,0.8816,0.7476,0.582,0.0008
1.0,0.9024,0.7804,0.648,0.0004
1.0,0.8872,0.772,0.0004
1.0,0.8996,0.794,0.666,0.0
1.0,0.8732,0.7704,0.6092,0.0036
1.0,0.9132,0.8124,0.64,0.0004
1.0,0.9088,0.8092,0.6092,0.0004
1.0,0.85,0.7288,0.0
1.0,0.8908,0.7708,0.0
1.0,0.8752,0.7392,0.0
1.0,0.8712,0.7284,0.004
1.0,0.9008,0.8004,0.688,0.0044
1.0,0.8892,0.7812,0.6544,0.0
1.0,0.8824,0.7844,0.0
1.0,0.9156,0.8124,0.7012,0.6156,0.0
1.0,0.886,0.7936,0.6232,0.0
1.0,0.8976,0.7476,0.6748,0.0
1.0,0.8788,0.772,0.6088,0.0
1.0,0.858,0.7176,0.0004
1.0,0.9136,0.8016,0.7076,0.5464,0.0
1.0,0.8692,0.7728,0.6808,0.5788,0.0
1.0,0.8936,0.8072,0.6676,0.0372,0.032,0.0272,0.0004
1.0,0.8896,0.74,0.548,0.002
1.0,0.9032,0.8092,0.72,0.0
1.0,0.9056,0.78,0.6724,0.0
1.0,0.9008,0.7808,0.6076,0.0
1.0,0.898,0.754,0.0
1.0,0.8904,0.7968,0.6916,0.0056
1.0,0.898,0.7464,0.0208,0.0168,0.0164,0.0
1.0,0.9088,0.8004,0.6776,0.0
1.0,0.8892,0.7464,0.63,0.0
1.0,0.8884,0.7488,0.0348,0.0344,0.0344,0.0328,0.0
1.0,0.888,0.792,0.6492,0.0
1.0,0.8644,0.7,0.0
1.0,0.9216,0.8092,0.6804,0.0
1.0,0.9068,0.8024,0.582,0.0
1.0,0.8956,0.8068,0.6776,0.0108,0.0104,0.0104,0.0084
1.0,0.8864,0.7584,0.6504,0.0
1.0,0.8872,0.8228,0.7212,0.0004
1.0,0.8732,0.7848,0.5736,0.0
1.0,0.8836,0.7404,0.6,0.0004
1.0,0.9132,0.8248,0.7212,0.5812,0.0
1.0,0.9032,0.7864,0.674,0.0
1.0,0.9196,0.7828,0.6612,0.0
1.0,0.9076,0.7944,0.6648,0.0
1.0,0.8932,0.8032,0.7136,0.0
1.0,0.8916,0.7932,0.6536,0.0
1.0,0.892,0.768,0.6116,0.0008
1.0,0.8984,0.7776,0.5872,0.0
1.0,0.8952,0.7796,0.6568,0.0012
1.0,0.8992,0.7928,0.6644,0.0
1.0,0.8884,0.7512,0.0004
1.0,0.8908,0.7988,0.6512,0.0
1.0,0.8908,0.7748,0.6176,0.0004
1.0,0.8944,0.7824,0.6416,0.0
1.0,0.8756,0.7356,0.0104,0.0092
