name,sf,N,num_trials,gamma_0,gamma_1,d,fpt,alive
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,38,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,37,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,39,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,37,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,38,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,37,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,38,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,39,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,41,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,40,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,38,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,40,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,37,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,39,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,38,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,37,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,38,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,37,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,38,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,40,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,38,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,40,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,37,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,38,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,39,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,39,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,37,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,39,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,38,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,38,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,39,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,38,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,39,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,38,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,38,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,39,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,38,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,40,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,39,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,37,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,38,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,39,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,38,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,38,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,39,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,38,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,37,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,37,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,37,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,37,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,38,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,40,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,39,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,39,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,39,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,39,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,39,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,38,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,38,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,39,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,38,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,38,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,40,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,39,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,39,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,38,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,36,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,38,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,39,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,38,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,39,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,39,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,40,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,38,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,37,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,38,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,39,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,39,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,37,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,39,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,39,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,41,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,41,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,38,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,37,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,39,0
r_5000_100_0.01_0_0,r,5000,100,0.01,0,0,39,0
