name,sf,N,num_trials,gamma_0,gamma_0_new,gamma_1,d,fpt,k,alive
r_100_50_0,r,100,50,0.003,0.03,0.0,0.0,26,0,0
r_100_50_0,r,100,50,0.003,0.03,0.0,0.0,19,0,0
r_100_50_0,r,100,50,0.003,0.03,0.0,0.0,28,0,0
r_100_50_0,r,100,50,0.003,0.03,0.0,0.0,20,0,0
r_100_50_0,r,100,50,0.003,0.03,0.0,0.0,29,0,0
r_100_50_0,r,100,50,0.003,0.03,0.0,0.0,20,0,0
r_100_50_0,r,100,50,0.003,0.03,0.0,0.0,23,0,0
r_100_50_0,r,100,50,0.003,0.03,0.0,0.0,24,0,0
r_100_50_0,r,100,50,0.003,0.03,0.0,0.0,25,0,0
r_100_50_0,r,100,50,0.003,0.03,0.0,0.0,24,0,0
r_100_50_0,r,100,50,0.003,0.03,0.0,0.0,25,0,0
r_100_50_0,r,100,50,0.003,0.03,0.0,0.0,33,0,0
r_100_50_0,r,100,50,0.003,0.03,0.0,0.0,16,0,0
r_100_50_0,r,100,50,0.003,0.03,0.0,0.0,24,0,0
r_100_50_0,r,100,50,0.003,0.03,0.0,0.0,20,0,0
r_100_50_0,r,100,50,0.003,0.03,0.0,0.0,23,0,0
r_100_50_0,r,100,50,0.003,0.03,0.0,0.0,17,0,0
r_100_50_0,r,100,50,0.003,0.03,0.0,0.0,19,0,0
r_100_50_0,r,100,50,0.003,0.03,0.0,0.0,21,0,0
r_100_50_0,r,100,50,0.003,0.03,0.0,0.0,26,0,0
r_100_50_0,r,100,50,0.003,0.03,0.0,0.0,19,0,0
r_100_50_0,r,100,50,0.003,0.03,0.0,0.0,22,0,0
r_100_50_0,r,100,50,0.003,0.03,0.0,0.0,23,0,0
r_100_50_0,r,100,50,0.003,0.03,0.0,0.0,27,0,0
r_100_50_0,r,100,50,0.003,0.03,0.0,0.0,29,0,0
r_100_50_0,r,100,50,0.003,0.03,0.0,0.0,24,0,0
r_100_50_0,r,100,50,0.003,0.03,0.0,0.0,27,0,0
r_100_50_0,r,100,50,0.003,0.03,0.0,0.0,23,0,0
r_100_50_0,r,100,50,0.003,0.03,0.0,0.0,18,0,0
r_100_50_0,r,100,50,0.003,0.03,0.0,0.0,28,0,0
r_100_50_0,r,100,50,0.003,0.03,0.0,0.0,17,0,0
r_100_50_0,r,100,50,0.003,0.03,0.0,0.0,26,0,0
r_100_50_0,r,100,50,0.003,0.03,0.0,0.0,26,0,0
r_100_50_0,r,100,50,0.003,0.03,0.0,0.0,23,0,0
r_100_50_0,r,100,50,0.003,0.03,0.0,0.0,21,0,0
r_100_50_0,r,100,50,0.003,0.03,0.0,0.0,23,0,0
r_100_50_0,r,100,50,0.003,0.03,0.0,0.0,24,0,0
r_100_50_0,r,100,50,0.003,0.03,0.0,0.0,30,0,0
r_100_50_0,r,100,50,0.003,0.03,0.0,0.0,19,0,0
r_100_50_0,r,100,50,0.003,0.03,0.0,0.0,17,0,0
r_100_50_0,r,100,50,0.003,0.03,0.0,0.0,20,0,0
r_100_50_0,r,100,50,0.003,0.03,0.0,0.0,29,0,0
r_100_50_0,r,100,50,0.003,0.03,0.0,0.0,18,0,0
r_100_50_0,r,100,50,0.003,0.03,0.0,0.0,24,0,0
r_100_50_0,r,100,50,0.003,0.03,0.0,0.0,27,0,0
r_100_50_0,r,100,50,0.003,0.03,0.0,0.0,20,0,0
r_100_50_0,r,100,50,0.003,0.03,0.0,0.0,29,0,0
r_100_50_0,r,100,50,0.003,0.03,0.0,0.0,20,0,0
r_100_50_0,r,100,50,0.003,0.03,0.0,0.0,17,0,0
r_100_50_0,r,100,50,0.003,0.03,0.0,0.0,27,0,0
r_100_50_1,r,100,50,0.003,0.03,0.0,0.0,18,1,0
r_100_50_1,r,100,50,0.003,0.03,0.0,0.0,19,1,0
r_100_50_1,r,100,50,0.003,0.03,0.0,0.0,20,1,0
r_100_50_1,r,100,50,0.003,0.03,0.0,0.0,19,1,0
r_100_50_1,r,100,50,0.003,0.03,0.0,0.0,18,1,0
r_100_50_1,r,100,50,0.003,0.03,0.0,0.0,20,1,0
r_100_50_1,r,100,50,0.003,0.03,0.0,0.0,19,1,0
r_100_50_1,r,100,50,0.003,0.03,0.0,0.0,18,1,0
r_100_50_1,r,100,50,0.003,0.03,0.0,0.0,19,1,0
r_100_50_1,r,100,50,0.003,0.03,0.0,0.0,19,1,0
r_100_50_1,r,100,50,0.003,0.03,0.0,0.0,27,1,0
r_100_50_1,r,100,50,0.003,0.03,0.0,0.0,24,1,0
r_100_50_1,r,100,50,0.003,0.03,0.0,0.0,19,1,0
r_100_50_1,r,100,50,0.003,0.03,0.0,0.0,22,1,0
r_100_50_1,r,100,50,0.003,0.03,0.0,0.0,22,1,0
r_100_50_1,r,100,50,0.003,0.03,0.0,0.0,20,1,0
r_100_50_1,r,100,50,0.003,0.03,0.0,0.0,25,1,0
r_100_50_1,r,100,50,0.003,0.03,0.0,0.0,21,1,0
r_100_50_1,r,100,50,0.003,0.03,0.0,0.0,21,1,0
r_100_50_1,r,100,50,0.003,0.03,0.0,0.0,17,1,0
r_100_50_1,r,100,50,0.003,0.03,0.0,0.0,19,1,0
r_100_50_1,r,100,50,0.003,0.03,0.0,0.0,22,1,0
r_100_50_1,r,100,50,0.003,0.03,0.0,0.0,16,1,0
r_100_50_1,r,100,50,0.003,0.03,0.0,0.0,20,1,0
r_100_50_1,r,100,50,0.003,0.03,0.0,0.0,18,1,0
r_100_50_1,r,100,50,0.003,0.03,0.0,0.0,27,1,0
r_100_50_1,r,100,50,0.003,0.03,0.0,0.0,26,1,0
r_100_50_1,r,100,50,0.003,0.03,0.0,0.0,14,1,0
r_100_50_1,r,100,50,0.003,0.03,0.0,0.0,23,1,0
r_100_50_1,r,100,50,0.003,0.03,0.0,0.0,22,1,0
r_100_50_1,r,100,50,0.003,0.03,0.0,0.0,27,1,0
r_100_50_1,r,100,50,0.003,0.03,0.0,0.0,24,1,0
r_100_50_1,r,100,50,0.003,0.03,0.0,0.0,20,1,0
r_100_50_1,r,100,50,0.003,0.03,0.0,0.0,25,1,0
r_100_50_1,r,100,50,0.003,0.03,0.0,0.0,23,1,0
r_100_50_1,r,100,50,0.003,0.03,0.0,0.0,22,1,0
r_100_50_1,r,100,50,0.003,0.03,0.0,0.0,22,1,0
r_100_50_1,r,100,50,0.003,0.03,0.0,0.0,27,1,0
r_100_50_1,r,100,50,0.003,0.03,0.0,0.0,24,1,0
r_100_50_1,r,100,50,0.003,0.03,0.0,0.0,28,1,0
r_100_50_1,r,100,50,0.003,0.03,0.0,0.0,19,1,0
r_100_50_1,r,100,50,0.003,0.03,0.0,0.0,23,1,0
r_100_50_1,r,100,50,0.003,0.03,0.0,0.0,28,1,0
r_100_50_1,r,100,50,0.003,0.03,0.0,0.0,21,1,0
r_100_50_1,r,100,50,0.003,0.03,0.0,0.0,15,1,0
r_100_50_1,r,100,50,0.003,0.03,0.0,0.0,18,1,0
r_100_50_1,r,100,50,0.003,0.03,0.0,0.0,17,1,0
r_100_50_1,r,100,50,0.003,0.03,0.0,0.0,28,1,0
r_100_50_1,r,100,50,0.003,0.03,0.0,0.0,22,1,0
r_100_50_1,r,100,50,0.003,0.03,0.0,0.0,19,1,0
