name,sf,N,num_trials,gamma_0,gamma_0_new,gamma_1,d,fpt,k,alive
r_500_10_0,r,500,10,0.01,0.03,0.0,0.0,92,0,0
r_500_10_0,r,500,10,0.01,0.03,0.0,0.0,106,0,0
r_500_10_0,r,500,10,0.01,0.03,0.0,0.0,104,0,0
r_500_10_0,r,500,10,0.01,0.03,0.0,0.0,90,0,0
r_500_10_0,r,500,10,0.01,0.03,0.0,0.0,97,0,0
r_500_10_0,r,500,10,0.01,0.03,0.0,0.0,90,0,0
r_500_10_0,r,500,10,0.01,0.03,0.0,0.0,88,0,0
r_500_10_0,r,500,10,0.01,0.03,0.0,0.0,82,0,0
r_500_10_0,r,500,10,0.01,0.03,0.0,0.0,100,0,0
r_500_10_0,r,500,10,0.01,0.03,0.0,0.0,89,0,0
r_500_10_1,r,500,10,0.01,0.03,0.0,0.0,85,1,0
r_500_10_1,r,500,10,0.01,0.03,0.0,0.0,102,1,0
r_500_10_1,r,500,10,0.01,0.03,0.0,0.0,82,1,0
r_500_10_1,r,500,10,0.01,0.03,0.0,0.0,92,1,0
r_500_10_1,r,500,10,0.01,0.03,0.0,0.0,117,1,0
r_500_10_1,r,500,10,0.01,0.03,0.0,0.0,104,1,0
r_500_10_1,r,500,10,0.01,0.03,0.0,0.0,91,1,0
r_500_10_1,r,500,10,0.01,0.03,0.0,0.0,100,1,0
r_500_10_1,r,500,10,0.01,0.03,0.0,0.0,93,1,0
r_500_10_1,r,500,10,0.01,0.03,0.0,0.0,97,1,0
r_500_10_2,r,500,10,0.01,0.03,0.0,0.0,100,2,0
r_500_10_2,r,500,10,0.01,0.03,0.0,0.0,95,2,0
r_500_10_2,r,500,10,0.01,0.03,0.0,0.0,100,2,0
r_500_10_2,r,500,10,0.01,0.03,0.0,0.0,96,2,0
r_500_10_2,r,500,10,0.01,0.03,0.0,0.0,93,2,0
r_500_10_2,r,500,10,0.01,0.03,0.0,0.0,102,2,0
r_500_10_2,r,500,10,0.01,0.03,0.0,0.0,115,2,0
r_500_10_2,r,500,10,0.01,0.03,0.0,0.0,94,2,0
r_500_10_2,r,500,10,0.01,0.03,0.0,0.0,95,2,0
r_500_10_2,r,500,10,0.01,0.03,0.0,0.0,102,2,0
r_500_10_3,r,500,10,0.01,0.03,0.0,0.0,103,3,0
r_500_10_3,r,500,10,0.01,0.03,0.0,0.0,89,3,0
r_500_10_3,r,500,10,0.01,0.03,0.0,0.0,107,3,0
r_500_10_3,r,500,10,0.01,0.03,0.0,0.0,92,3,0
r_500_10_3,r,500,10,0.01,0.03,0.0,0.0,94,3,0
r_500_10_3,r,500,10,0.01,0.03,0.0,0.0,86,3,0
r_500_10_3,r,500,10,0.01,0.03,0.0,0.0,107,3,0
r_500_10_3,r,500,10,0.01,0.03,0.0,0.0,91,3,0
r_500_10_3,r,500,10,0.01,0.03,0.0,0.0,89,3,0
r_500_10_3,r,500,10,0.01,0.03,0.0,0.0,89,3,0
r_500_10_4,r,500,10,0.01,0.03,0.0,0.0,92,4,0
r_500_10_4,r,500,10,0.01,0.03,0.0,0.0,83,4,0
r_500_10_4,r,500,10,0.01,0.03,0.0,0.0,117,4,0
r_500_10_4,r,500,10,0.01,0.03,0.0,0.0,114,4,0
r_500_10_4,r,500,10,0.01,0.03,0.0,0.0,87,4,0
r_500_10_4,r,500,10,0.01,0.03,0.0,0.0,91,4,0
r_500_10_4,r,500,10,0.01,0.03,0.0,0.0,86,4,0
r_500_10_4,r,500,10,0.01,0.03,0.0,0.0,87,4,0
r_500_10_4,r,500,10,0.01,0.03,0.0,0.0,97,4,0
r_500_10_4,r,500,10,0.01,0.03,0.0,0.0,113,4,0
r_500_10_5,r,500,10,0.01,0.03,0.0,0.0,87,5,0
r_500_10_5,r,500,10,0.01,0.03,0.0,0.0,95,5,0
r_500_10_5,r,500,10,0.01,0.03,0.0,0.0,98,5,0
r_500_10_5,r,500,10,0.01,0.03,0.0,0.0,92,5,0
r_500_10_5,r,500,10,0.01,0.03,0.0,0.0,108,5,0
r_500_10_5,r,500,10,0.01,0.03,0.0,0.0,87,5,0
r_500_10_5,r,500,10,0.01,0.03,0.0,0.0,111,5,0
r_500_10_5,r,500,10,0.01,0.03,0.0,0.0,82,5,0
r_500_10_5,r,500,10,0.01,0.03,0.0,0.0,90,5,0
r_500_10_5,r,500,10,0.01,0.03,0.0,0.0,105,5,0
